SMILES,QED,SA,predicted_pIC50
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCCC(=O)O)cc3)C[C@@]21C,0.3423877955835228,4.444987806023342,7.795342630542303
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2cccnc2)c(C)c1,0.4429626873136408,3.0472325056229863,8.58072643127629
O=C(Nc1ccc(Cl)cc1)c1cnc2c(cnn2Cc2ccncc2)c1Cl,0.5520084439695092,2.2661833582877247,6.669253833962248
Cc1[nH]nnc1Cn1nc(C)c2c(Cl)c(C(=O)Nc3ccc(Cl)cc3)cnc21,0.5274743400607959,2.818164117204045,6.593431797377252
COc1ccc(C)c(C)c1S(=O)(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccco1,0.6390432971087765,2.466434738085157,5.495059839243421
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCO[C@H]4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,0.1718261131210443,5.985993007830177,8.727953003257266
COCCNC(=O)c1cnc2c(c(C)nn2C)c1Cl,0.8585894889525839,2.348732079619193,5.624643600651894
O=C(c1ccco1)N1CCCc2cc(NS(=O)(=O)c3ccc([N+](=O)[O-])cc3)ccc21,0.49037732731793443,2.3014144852268785,4.578761481214348
CCc1cccc2[nH]c(CC(O)(CC(C)(C)c3cc(F)ccc3OC)C(F)(F)F)cc12,0.44007130337401024,3.198550730565712,7.5729212930668535
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(=O)CNC(=O)O[C@H]4C[C@H]5[C@@H]([C@H](O)C[C@@H]6C[C@H](O)CC[C@@]65C)[C@@H]5CC[C@H]([C@H](C)CCC(=O)O)[C@@]45C)cc3)C[C@@]21C,0.15361487334106624,6.053681450194616,7.928288488632227
O=C(Nc1ccc(C(F)(F)F)cc1)c1cnc2c(ncn2Cc2ccccc2)c1Cl,0.47103193744470384,2.2938463404304983,5.548189553301838
COc1cccc2c1-c1ccc3c(c1C(CC(=O)N(C)C)O2)C(C)=CC(C)(C)N3,0.808701574480722,3.3890254924405845,6.150872150680399
Cc1nn(CC2CC2)c2ncc(C(=O)Nc3ccc(Cl)cc3)c(Cl)c12,0.7186136740001079,2.2989905768359833,6.5606673061697585
CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1,0.393646603004665,3.6687898384233275,6.783531982179123
Cc1cc(Cn2nc(C)c3c(Cl)c(C(=O)Nc4ccc(C(F)(F)F)cc4)cnc32)ncn1,0.4720500820118086,2.6551449748937745,6.7814967284647665
CC(C)(C)[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,0.7945518892492545,3.807433026753662,7.52912042719987
CNC(=O)C[C@H]1COc2cc(F)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,0.8190331161812816,3.158206266361785,5.822639928880291
COC(=O)C(C)(C)O/N=C1\CC(C)(C)Nc2cc(F)c(-c3cccc4c(C)c[nH]c34)c(F)c21,0.3915924309524572,3.446757968475043,7.4965022913704615
COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1ccc(F)cc1C(=O)N1CCCCC1)O2)C(C)=CC(C)(C)N3,0.36399590289427164,3.1461266204921525,6.895930314636985
Cc1nn(CCN2CCN(C(C)C)CC2)c2ncc(C(=O)Nc3ccc(C(F)(F)F)cc3)c(Cl)c12,0.5230543116019813,2.6134710810288198,6.656381509622805
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@@]2(O)C#C[Si](C)(C)C,0.3950348134440638,4.382769164867657,6.205789009796245
Cc1ccc(CN(Cc2ccccc2)c2cccc(NS(C)(=O)=O)c2C)cc1,0.6211518920761505,2.0821691804951836,7.2644651608904285
C[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C,0.7672238872225757,4.4562428602258946,7.795447040037979
